country,population_estimation_2020,month_year,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,monthly_vaccinations_raw,monthly_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,monthly_vaccinations_per_million
Finland,5542237,2021-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",8212502,4232878,3886870,0,589998,148.02,76.29,70.05,106336
Finland,5542237,2021-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",8602876,4275263,4033830,0,425879,155.05,77.05,72.7,76756
Finland,5542237,2021-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",9616819,0,4085397,126744,907902,173.33,0,73.63,163634
Finland,5542237,2022-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",11008185,4388583,4134366,689122,1336554,198.4,79.1,74.52,240893
Finland,5542237,2022-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",11443055,4458538,4222243,411404,605283,206.24,80.36,76.1,109094
Finland,5542237,2022-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",11481480,4459276,4237004,20206,25610,206.93,80.37,76.36,4616
France,65298930,2020-12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2362,2362,0,1779,2064,0,0,0,30
France,65298930,2021-01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1725619,1677136,48483,1723257,1525924,2.56,2.49,0.07,22634
France,65298930,2021-02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4746311,3149498,1596805,3020692,2909920,7.04,4.67,2.37,43161
France,65298930,2021-03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",11732030,8864425,2867525,6985719,6462178,17.4,13.15,4.25,95846
France,65298930,2021-04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",22504611,16054063,6503421,10772581,10129297,33.38,23.81,9.65,150240
France,65298930,2021-05,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",37409255,26397866,11257690,14904644,14968590,55.49,39.15,16.7,222013
France,65298930,2021-06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",55164166,34574513,21081254,17754911,17388670,81.82,51.28,31.27,257910
France,65298930,2021-07,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",74646253,43062248,32341283,19482087,19227548,110.71,63.87,47.97,285184
France,65298930,2021-08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",88612157,49084472,40380254,13965904,14841062,131.43,72.8,59.89,220121
France,65298930,2021-09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",95589444,50887661,44505588,6977287,7658767,141.78,75.48,66.01,113594
France,65298930,2021-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",99820413,51770441,45994190,4230969,4374256,148.05,76.79,68.22,64880
France,65298930,2021-11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",106382072,52406828,47171152,6561659,5772619,157.79,77.73,69.96,85619
France,65298930,2021-12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",123972732,53094774,49526980,17590660,17378974,183.88,78.75,73.46,257765
France,65298930,2022-01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",136757314,53791623,51489817,12784582,13484612,202.84,79.78,76.37,200004
France,65298930,2022-02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",140836556,53963501,52312033,4079242,4545558,208.89,80.04,77.59,67421
France,65298930,2022-03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",141080464,53977048,52363217,243908,312350,209.25,80.06,77.66,4632
French Guiana,299958,,,,,,,,,,,
French Polynesia,281191,2021-02,"Johnson&Johnson, Pfizer/BioNTech",8045,5930,2115,450,7012,2.85,2.1,0.75,24821
French Polynesia,281191,2021-03,"Johnson&Johnson, Pfizer/BioNTech",30080,22648,7432,405,19706,10.65,8.02,2.63,69745
French Polynesia,281191,2021-04,"Johnson&Johnson, Pfizer/BioNTech",62185,39107,23078,0,33738,22.01,13.84,8.17,119413
French Polynesia,281191,2021-05,"Johnson&Johnson, Pfizer/BioNTech",95556,55606,39950,0,36818,33.82,19.68,14.14,130316
French Polynesia,281191,2021-06,"Johnson&Johnson, Pfizer/BioNTech",132540,71242,61298,0,31887,46.91,25.22,21.7,112860
French Polynesia,281191,2021-07,"Johnson&Johnson, Pfizer/BioNTech",154037,83210,70827,0,24721,54.52,29.45,25.07,87495
French Polynesia,281191,2021-08,"Johnson&Johnson, Pfizer/BioNTech",235114,133302,101812,0,70004,83.22,47.18,36.04,247773
French Polynesia,281191,2021-09,"Johnson&Johnson, Pfizer/BioNTech",290776,152157,138619,0,63809,102.92,53.85,49.06,225847
French Polynesia,281191,2021-10,"Johnson&Johnson, Pfizer/BioNTech",303630,156445,147185,0,14740,107.47,55.37,52.09,52172
French Polynesia,281191,2021-11,"Johnson&Johnson, Pfizer/BioNTech",318790,162831,155959,0,13195,112.83,57.63,55.2,46700
French Polynesia,281191,2021-12,"Johnson&Johnson, Pfizer/BioNTech",329095,169995,159100,0,13902,116.48,60.17,56.31,49205
French Polynesia,281191,2022-01,"Johnson&Johnson, Pfizer/BioNTech",342983,176934,166049,0,14042,121.4,62.62,58.77,49697
French Polynesia,281191,2022-02,"Johnson&Johnson, Pfizer/BioNTech",363898,183875,180023,0,12521,128.8,65.08,63.72,44316
French Polynesia,281191,2022-03,"Johnson&Johnson, Pfizer/BioNTech",364797,183990,180807,0,6740,129.12,65.12,63.99,23854
Gabon,2234448,2021-03,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",301,301,0,0,297,0.01,0.01,0,126
Gabon,2234448,2021-04,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",10678,8035,2643,0,9713,0.47,0.35,0.12,4262
Gabon,2234448,2021-05,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",22524,14352,8172,0,12037,0.99,0.63,0.36,5276
Gabon,2234448,2021-06,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",56768,38496,18272,1486,31634,2.49,1.69,0.8,13880
Gabon,2234448,2021-07,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",87181,52830,34351,0,38816,3.83,2.32,1.51,17033
Gabon,2234448,2021-08,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",130798,77761,53037,0,43615,5.74,3.41,2.33,19138
Gabon,2234448,2021-09,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",180320,102256,78064,0,43200,7.91,4.49,3.43,18954
Gabon,2234448,2021-10,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",223308,125912,97396,0,43789,9.8,5.53,4.27,19216
Gabon,2234448,2021-11,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",277979,166353,111626,0,70185,12.2,7.3,4.9,30800
Gabon,2234448,2021-12,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",392898,219775,173123,0,146616,17.24,9.64,7.6,64344
Gabon,2234448,2022-01,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",499247,277616,221631,0,82628,21.91,12.18,9.73,36263
Gabon,2234448,2022-02,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",545642,299993,245649,0,17397,23.94,13.16,10.78,7632
Gabon,2234448,2022-03,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",0,0,0,0,0,0,0,0,0
Gambia,2427782,2021-03,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",5345,5345,0,0,6640,0.21,0.21,0,2671
Gambia,2427782,2021-04,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",20922,20922,0,0,16136,0.84,0.84,0,6486
Gambia,2427782,2021-05,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",29148,29148,0,0,6709,1.17,1.17,0,2701
Gambia,2427782,2021-06,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",42975,31150,11825,0,13522,1.73,1.25,0.48,5435
Gambia,2427782,2021-07,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",43557,31254,12303,0,48394,1.75,1.26,0.49,19466
Gambia,2427782,2021-08,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",197277,177168,161451,429,103283,7.93,7.12,6.49,41541
Gambia,2427782,2021-09,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",208379,184817,171987,0,14454,8.38,7.43,6.92,5812
Gambia,2427782,2021-10,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",265620,234467,220502,0,53137,10.68,9.43,8.87,21371
Gambia,2427782,2021-11,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",268008,236834,222890,0,8305,10.78,9.52,8.96,3338
Gambia,2427782,2021-12,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",294698,263056,249515,0,25811,11.85,10.58,10.03,10376
Gambia,2427782,2022-01,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",349875,317855,304688,0,57619,14.07,12.78,12.25,23161
Gambia,2427782,2022-02,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",362079,330027,316887,0,7504,14.56,13.27,12.74,3024
Georgia,3987805,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",7822,7822,0,0,6056,0.2,0.2,0,1516
Georgia,3987805,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",45338,39274,6064,19531,35326,1.14,0.99,0.15,8875
Georgia,3987805,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",138914,112813,26101,75160,88816,3.49,2.83,0.66,22316
Georgia,3987805,2021-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",261652,161580,100072,103857,124061,6.57,4.06,2.51,31174
Georgia,3987805,2021-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",481591,323837,157754,48701,193019,12.1,8.14,3.96,48499
Georgia,3987805,2021-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",1210746,802083,408663,449889,695142,30.42,20.15,10.27,174670
Georgia,3987805,2021-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",1774769,978640,796129,206339,617972,44.59,24.59,20,155279
Georgia,3987805,2021-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",1920934,1013828,907106,43210,203266,48.27,25.47,22.79,51073
Georgia,3987805,2021-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2183335,1160258,995303,65191,188063,54.86,29.15,25.01,47254
Georgia,3987805,2021-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2512858,1363896,1148962,169073,339160,63.14,34.27,28.87,85222
Georgia,3987805,2022-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2722187,1500847,1221340,157522,207197,68.4,37.71,30.69,52063
Georgia,3987805,2022-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2820546,1573695,1246851,71904,116063,70.87,39.54,31.33,29164
Georgia,3987805,2022-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2827683,1578207,1249476,7137,11670,71.05,39.66,31.4,2933
Germany,83830972,2020-12,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",207399,206542,856,183024,142595,0.25,0.25,0,1699
Germany,83830972,2021-01,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2546137,1942388,603779,2338738,2223614,3.03,2.32,0.72,26505
Germany,83830972,2021-02,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",6343525,4149661,2193935,3797388,3582259,7.56,4.95,2.61,42694
Germany,83830972,2021-03,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",14227080,9972367,4254787,7883555,7438185,16.96,11.89,5.07,88654
Germany,83830972,2021-04,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",29811853,23247939,6567254,15584773,13988255,35.53,27.71,7.83,166724
Germany,83830972,2021-05,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",50903195,36183349,15217964,21091342,21842626,60.67,43.13,18.14,260337
Germany,83830972,2021-06,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",75715144,46487051,31188672,24811949,24288692,90.24,55.41,37.17,289494
Germany,83830972,2021-07,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",93000176,51750261,43693597,17285032,18208308,110.85,61.68,52.08,217022
Germany,83830972,2021-08,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",102290071,54566824,50578873,9289895,10084216,121.92,65.04,60.28,120190
Germany,83830972,2021-09,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",108175026,56773213,53812175,5884955,5841224,128.93,67.67,64.14,69622
Germany,83830972,2021-10,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",112195543,57864351,55564835,4020517,4257849,133.72,68.97,66.23,50751
Germany,83830972,2021-11,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",124075620,59665414,57165082,11880077,10276826,147.88,71.11,68.13,122487
Germany,83830972,2021-12,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",150252899,61827214,59273320,26177279,26754961,179.08,73.69,70.65,318887
Germany,83830972,2022-01,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",165343282,63083851,61607518,15090383,15717506,197.07,75.19,73.43,187336
Germany,83830972,2022-02,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",169983297,63465570,62731020,4640015,5181434,202.6,75.64,74.77,61757
Germany,83830972,2022-03,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",170563324,63524805,62863234,580027,629155,203.29,75.71,74.93,7499
Ghana,31181428,2021-03,"Oxford/AstraZeneca, Sputnik V",500000,500000,0,0,615002,1.58,1.58,0,19385
Ghana,31181428,2021-04,"Oxford/AstraZeneca, Sputnik V",846588,846588,0,120680,318042,2.67,2.67,0,10024
Ghana,31181428,2021-05,"Oxford/AstraZeneca, Sputnik V",1228216,852047,376169,0,218851,3.87,2.69,1.19,6886
Ghana,31181428,2021-06,"Oxford/AstraZeneca, Sputnik V",1232876,852047,380829,0,181105,3.89,2.69,1.2,5705
Ghana,31181428,2021-07,"Oxford/AstraZeneca, Sputnik V",1271393,865422,405971,0,75388,4.01,2.73,1.28,2378
Ghana,31181428,2021-08,"Oxford/AstraZeneca, Sputnik V",0,0,0,0,173290,0,0,0,5456
Ghana,31181428,2021-09,"Oxford/AstraZeneca, Sputnik V",1623582,865422,758160,0,361616,5.12,2.73,2.39,11392
Ghana,31181428,2021-10,"Oxford/AstraZeneca, Sputnik V",2979766,2149123,830643,0,1107270,9.39,6.77,2.62,34893
Ghana,31181428,2021-11,"Oxford/AstraZeneca, Sputnik V",3493688,2651463,842225,60270,633116,11.01,8.36,2.65,19955
Ghana,31181428,2021-12,"Oxford/AstraZeneca, Sputnik V",7755231,5774413,2334010,0,4455599,24.44,18.2,7.36,140407
Ghana,31181428,2022-01,"Oxford/AstraZeneca, Sputnik V",10015888,6877682,3138206,0,2892635,31.56,21.67,9.89,91158
Ghana,31181428,2022-02,"Oxford/AstraZeneca, Sputnik V",12511697,7721716,4789981,0,1472827,39.43,24.33,15.1,46415
Ghana,31181428,2022-03,"Oxford/AstraZeneca, Sputnik V",0,0,0,0,0,0,0,0,0
Gibraltar,33689,2021-01,"Oxford/AstraZeneca, Pfizer/BioNTech",13286,12886,400,10232,14655,39.43,38.25,1.19,434985
Gibraltar,33689,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech",36808,23518,13290,23522,22467,109.25,69.8,39.45,666857
Gibraltar,33689,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech",60265,31739,28526,23163,24148,178.88,94.21,84.67,716750
Gibraltar,33689,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech",71114,37504,33611,6000,10822,211.08,111.32,99.76,321213
Gibraltar,33689,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech",77519,39080,38439,3950,7596,230.09,116,114.09,225459
Gibraltar,33689,2021-06,"Oxford/AstraZeneca, Pfizer/BioNTech",78089,39235,38854,0,964,231.78,116.46,115.32,28612
Gibraltar,33689,2021-07,"Oxford/AstraZeneca, Pfizer/BioNTech",78459,39340,39119,125,359,232.88,116.77,116.11,10656
Gibraltar,33689,2021-08,"Oxford/AstraZeneca, Pfizer/BioNTech",78854,39629,39225,229,399,234.05,117.62,116.43,11839
Gibraltar,33689,2021-09,"Oxford/AstraZeneca, Pfizer/BioNTech",79569,39951,39613,288,690,236.17,118.58,117.58,20479
Gibraltar,33689,2021-10,"Oxford/AstraZeneca, Pfizer/BioNTech",89068,40547,39808,8412,8862,264.37,120.35,118.16,263037
Gibraltar,33689,2021-11,"Oxford/AstraZeneca, Pfizer/BioNTech",98034,40914,39819,4359,9169,290.98,121.44,118.19,272151
Gibraltar,33689,2021-12,"Oxford/AstraZeneca, Pfizer/BioNTech",108323,41173,40065,6518,10859,321.52,122.21,118.92,322312
Gibraltar,33689,2022-01,"Oxford/AstraZeneca, Pfizer/BioNTech",111101,41356,40722,1563,2551,329.76,122.75,120.87,75721
Gibraltar,33689,2022-02,"Oxford/AstraZeneca, Pfizer/BioNTech",113009,41902,40905,703,1978,335.43,124.37,121.41,58710
Gibraltar,33689,2022-03,"Oxford/AstraZeneca, Pfizer/BioNTech",113255,41995,40943,38,187,336.16,124.65,121.53,5550
Greece,10413936,2020-12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2339,2339,0,1892,1899,0.02,0.02,0,184
Greece,10413936,2021-01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",271287,232399,38888,243591,233082,2.62,2.24,0.37,22473
Greece,10413936,2021-02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",885821,572174,313647,543920,589308,8.54,5.52,3.02,56823
Greece,10413936,2021-03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1699807,1092633,607167,678375,796867,16.39,10.54,5.85,76838
Greece,10413936,2021-04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3097693,2153560,944123,1169482,1335242,29.87,20.77,9.1,128751
Greece,10413936,2021-05,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5597624,3647975,2058287,2053464,2425778,53.98,35.18,19.85,233905
Greece,10413936,2021-06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",8391535,4839188,3788906,2793911,2728955,80.92,46.66,36.53,263138
Greece,10413936,2021-07,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",10536457,5705615,5165666,2144922,2247042,101.6,55.02,49.81,216672
Greece,10413936,2021-08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",11408609,6056183,5738106,872152,973123,110.01,58.4,55.33,93836
Greece,10413936,2021-09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",12162958,6445279,6123386,754349,764192,117.28,62.15,59.04,73686
Greece,10413936,2021-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",12892763,6638876,6375743,729805,749304,124.32,64.02,61.48,72253
Greece,10413936,2021-11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",14516080,7047587,6614211,1623317,1456265,139.97,67.96,63.78,140421
Greece,10413936,2021-12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",17469497,7469369,7041133,2953417,2912657,168.45,72.02,67.89,280851
Greece,10413936,2022-01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",19361091,7755916,7335277,1891594,2018308,186.69,74.79,70.73,194613
Greece,10413936,2022-02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",20147246,7858917,7536593,786155,860597,194.27,75.78,72.67,82984
Greece,10413936,2022-03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",20233243,7869761,7552026,85997,116167,195.1,75.88,72.82,11201
Greenland,56787,2021-01,Moderna,2584,2584,0,0,308,4.54,4.54,0,5416
Greenland,56787,2021-02,Moderna,0,0,0,0,2156,0,0,0,37912
Greenland,56787,2021-03,Moderna,5130,3927,1203,0,3361,9.02,6.91,2.12,59099
Greenland,56787,2021-04,Moderna,14139,8867,5272,3675,5293,24.86,15.59,9.27,93075
Greenland,56787,2021-05,Moderna,22376,14036,8340,3964,7640,39.35,24.68,14.67,134347
Greenland,56787,2021-06,Moderna,39270,28030,11240,14813,15084,69.05,49.29,19.77,265241
Greenland,56787,2021-07,Moderna,62050,36324,25726,16632,22898,109.11,63.87,45.24,402651
Greenland,56787,2021-08,Moderna,72589,39878,32711,3844,12837,127.64,70.12,57.52,225732
Greenland,56787,2021-09,Moderna,0,0,0,0,3697,0,0,0,65017
Greenland,56787,2021-10,Moderna,77164,40121,37043,278,1489,135.69,70.55,65.14,26181
Greenland,56787,2021-11,Moderna,77655,40224,37431,0,564,136.55,70.73,65.82,9922
Greenland,56787,2021-12,Moderna,78500,40447,38053,72,815,138.04,71.12,66.91,14332
Greenland,56787,2022-01,Moderna,79539,41183,38356,43,1014,139.87,72.42,67.45,17831
Greenland,56787,2022-02,Moderna,79703,41229,38474,15,203,140.15,72.5,67.65,3569
Greenland,56787,2022-03,Moderna,79745,41243,38502,0,14,140.23,72.52,67.7,245
Grenada,112614,2021-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",3000,3000,0,0,2442,2.65,2.65,0,21610
Grenada,112614,2021-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",10084,10084,0,182,7681,8.92,8.92,0,67969
Grenada,112614,2021-04,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",15397,12666,2731,855,4619,13.62,11.21,2.42,40874
Grenada,112614,2021-05,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",25544,17344,8200,0,10820,22.6,15.35,7.26,95739
Grenada,112614,2021-06,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",31494,19521,11973,0,6838,27.87,17.27,10.59,60503
Grenada,112614,2021-07,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",37689,21453,16236,0,5029,33.35,18.98,14.37,44499
Grenada,112614,2021-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",42484,23965,18519,0,5599,37.59,21.21,16.39,49540
Grenada,112614,2021-09,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",55663,33132,22531,0,14141,49.25,29.32,19.94,125124
Grenada,112614,2021-10,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",69622,38205,31417,0,12274,61.6,33.81,27.8,108606
Grenada,112614,2021-11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",74708,40353,34355,0,5070,66.1,35.71,30.4,44862
Grenada,112614,2021-12,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",78476,41287,35457,0,4925,69.44,36.53,31.37,43577
Grenada,112614,2022-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",84131,42467,36778,0,4747,74.44,37.58,32.54,42000
Grenada,112614,2022-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",85891,42971,37460,0,1730,76,38.02,33.15,15308
Grenada,112614,2022-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",86011,43005,37504,0,93,76.11,38.05,33.18,823
Guadeloupe,400136,,,,,,,,,,,
Guam,169031,,,,,,,,,,,
Guatemala,17971382,2021-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2224,2224,0,0,2999,0.01,0.01,0,164
Guatemala,17971382,2021-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",108165,106973,1192,88218,97043,0.59,0.59,0.01,5316
Guatemala,17971382,2021-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",170833,168935,1898,61730,70567,0.94,0.93,0.01,3868
Guatemala,17971382,2021-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",514240,436067,78173,333010,297611,2.82,2.39,0.43,16306
Guatemala,17971382,2021-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",948878,788440,160438,434638,459391,5.2,4.32,0.88,25172
Guatemala,17971382,2021-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2160074,1824440,335634,1086391,1025228,11.84,10,1.84,56175
Guatemala,17971382,2021-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",4607145,3352959,1254186,2247960,2420979,25.24,18.37,6.87,132659
Guatemala,17971382,2021-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",6977782,4522494,2455288,1974027,2402930,38.23,24.78,13.45,131670
Guatemala,17971382,2021-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",8596046,5331029,3265017,1618264,1729756,47.1,29.21,17.89,94783
Guatemala,17971382,2021-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",10070646,5993236,4077410,1474600,1410662,55.18,32.84,22.34,77299
Guatemala,17971382,2021-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",11310579,6535250,4686883,1239933,1319212,61.98,35.81,25.68,72287
Guatemala,17971382,2022-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",13451175,6925768,5288191,2140596,2054077,73.71,37.95,28.98,112553
Guatemala,17971382,2022-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",14535479,7184896,5608096,711465,1235333,79.65,39.37,30.73,67690
Guatemala,17971382,2022-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",14900511,7275131,5716727,0,197990,81.65,39.86,31.32,10849
Guinea,13191279,2021-03,Sputnik V,62645,59993,2652,0,0,0.46,0.44,0.02,0
Guinea,13191279,2021-04,Sputnik V,143534,95312,48222,29456,81420,1.06,0.71,0.36,6031
Guinea,13191279,2021-05,Sputnik V,352700,264950,87750,72632,188233,2.61,1.96,0.65,13945
Guinea,13191279,2021-06,Sputnik V,572855,401425,171430,105613,223641,4.24,2.97,1.27,16568
Guinea,13191279,2021-07,Sputnik V,899257,561121,338136,153579,290285,6.66,4.16,2.51,21507
