total_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,new_cases,new_deaths,%deaths,%cases,clusters
76865,71.71,50.66,21.04,107195,1195,13,0.092355054,9.923970334,1
114154,106.49,58.88,47.62,107195,347,8,0.099818089,10.24767946,1
127256,118.71,63.27,55.44,107195,153,0,0.099818089,10.39041,1
138509,129.21,67.91,61.31,107195,592,3,0.102616727,10.94267457,1
148225,138.28,73.39,64.89,107195,2846,36,0.136200382,13.59764914,1
156179,145.7,75.91,69.78,107195,924,20,0.154857969,14.45962965,1
159406,148.71,77.1,71.6,107195,425,5,0.159522366,14.85610336,1
161643,150.79,78.03,72.77,107195,429,3,0.162321004,15.2563086,1
163759,152.77,79.06,73.7,107195,4107,7,0.168851159,19.08764401,1
166440,155.27,80.81,74.46,107195,12539,12,0.180045711,30.78501796,1
167820,156.56,81.51,75.04,107195,684,18,0.196837539,31.42310742,1
168093,156.81,81.64,75.17,107195,245,1,0.197770418,31.65166286,1
34630,0.13,0.13,0.0,25788217,160,0,0.003524866,0.112369149,0
744330,2.89,2.6,0.28,25788217,344,0,0.003524866,0.113703092,0
2234844,8.67,7.66,1.0,25788217,489,1,0.003528743,0.115599306,0
4362739,16.92,14.95,1.96,25788217,307,0,0.003528743,0.116789773,0
7742536,30.02,23.69,6.33,25788217,525,0,0.003528743,0.118825586,0
12334071,47.83,32.6,15.23,25788217,3740,15,0.003583032,0.133328334,0
19663122,76.25,47.67,28.58,25788217,20710,89,0.003924273,0.213636329,0
28035888,108.72,64.56,44.15,25788217,52088,299,0.005083717,0.415620048,1
35603091,138.06,73.88,64.1,25788217,64849,432,0.006758901,0.667087608,1
39282954,152.33,77.65,72.94,25788217,39625,268,0.007798135,0.820743055,1
42580539,165.12,79.28,76.61,25788217,213841,242,0.008736548,1.649962849,1
49866290,193.37,84.08,78.37,25788217,2181746,1582,0.014871133,10.11020653,1
54065507,209.65,85.53,79.43,25788217,657205,1375,0.020203025,12.54455475,1
54492395,211.31,85.67,79.59,25788217,1212425,749,0.023107453,17.24602364,1
264754,2.93,2.68,0.25,9043072,53583,1499,0.085380278,4.582491437,0
712429,7.88,5.09,2.79,9043072,45042,840,0.094669157,5.080574389,0
1630863,18.03,13.17,4.86,9043072,86789,778,0.103272428,6.040303561,0
3302096,36.52,26.69,9.82,9043072,72641,866,0.11284882,6.843581473,0
5222559,57.75,40.84,17.34,9043072,25945,398,0.117249979,7.130486189,1
7656201,84.66,52.73,33.11,9043072,5597,101,0.118344739,7.192378873,1
9885721,109.32,59.48,52.11,9043072,8644,35,0.118731776,7.287965859,1
10583765,117.04,61.55,58.34,9043072,29249,45,0.119229395,7.611406832,1
10983700,121.46,63.93,60.49,9043072,54790,237,0.121739604,8.217285011,1
11668453,129.03,66.11,62.71,9043072,87886,348,0.125587853,9.189145016,1
13902053,153.73,70.73,64.94,9043072,329014,1135,0.138138898,12.82744404,1
16559997,183.12,73.66,69.45,9043072,118624,1241,0.151862111,14.13921066,1
17624802,194.9,74.87,71.65,9043072,576959,370,0.155953641,20.51933237,1
18026389,199.34,75.19,72.58,9043072,824164,706,0.163760722,29.63309371,1
18060574,199.72,75.24,72.67,9043072,1090670,955,0.174321293,41.69392879,1
0,0.0,0.0,0.0,10223344,11519,491,0.030635768,2.25189527,0
65000,0.64,0.64,0.0,10223344,4318,88,0.031496544,2.29413194,0
510420,4.99,4.99,0.0,10223344,27176,347,0.034890736,2.559954942,0
1488218,14.56,9.45,5.11,10223344,57396,950,0.044183195,3.121375941,0
2253216,22.04,13.23,8.81,10223344,14847,396,0.048056683,3.266602395,0
3511219,34.35,21.67,12.68,10223344,2091,61,0.048653356,3.287055586,0
4972362,48.64,28.17,20.47,10223344,7802,49,0.049132652,3.363371124,0
6805740,66.57,40.24,26.33,10223344,81042,613,0.055128733,4.156086306,0
8554628,83.68,46.58,37.1,10223344,59011,889,0.063824518,4.733304484,1
9660868,94.5,48.82,43.06,10223344,47468,549,0.069194581,5.197614401,1
10527605,102.98,49.68,44.67,10223344,56948,782,0.076843741,5.754653272,1
11346166,110.98,50.56,45.74,10223344,28629,502,0.081754072,6.034688845,1
12000767,117.39,51.16,46.39,10223344,41523,376,0.085431929,6.440847535,1
12720225,124.42,51.65,46.68,10223344,127200,683,0.092112718,7.685058822,1
13159756,128.72,51.93,46.91,10223344,6144,270,0.094753732,7.745156575,1
7000,1.76,1.76,0.0,396914,600,9,0.047365424,2.29747502,0
25692,6.47,6.47,0.0,396914,1334,11,0.050136805,2.633567977,0
55037,13.87,11.68,2.18,396914,1343,31,0.057947062,2.971928428,0
91067,22.94,14.64,8.3,396914,790,16,0.061978162,3.170963987,0
106898,26.93,15.57,11.79,396914,2254,41,0.072307855,3.738845191,0
146738,36.97,23.17,14.51,396914,3299,67,0.089188086,4.570007609,0
184461,46.47,28.81,17.67,396914,2845,177,0.133782129,5.286787566,0
255085,64.27,33.32,30.95,396914,1367,112,0.161999829,5.631194667,1
280176,70.59,38.22,34.84,396914,488,28,0.169054254,5.742049915,1
300214,75.64,39.57,37.13,396914,1685,46,0.180643666,6.166575127,1
318916,80.35,40.44,38.17,396914,8086,29,0.187950035,8.203792257,1
327515,82.52,41.08,38.77,396914,573,25,0.194248628,8.348156024,1
58643,3.35,3.35,0.0,1748295,5719,11,0.020133902,5.300878856,0
171568,5.59,9.81,0.0,1748295,10382,23,0.021449469,5.894714565,0
298171,5.59,17.05,0.0,1748295,19337,74,0.025682165,7.000763601,0
766317,43.83,29.22,14.61,1748295,22051,72,0.029800463,8.262049597,0
1235170,70.65,39.66,30.99,1748295,32489,125,0.036950286,10.12037442,1
1732728,99.11,53.86,45.25,1748295,63597,334,0.056054613,13.75803283,1
2122296,121.39,60.51,56.46,1748295,25296,372,0.077332487,15.20492823,1
2305354,131.86,63.39,60.36,1748295,3359,32,0.079162842,15.39705828,1
2489109,142.37,65.6,62.26,1748295,3354,4,0.079391636,15.58890233,1
2590143,148.15,66.65,64.02,1748295,2517,1,0.079448834,15.73287117,1
2771330,158.52,67.35,65.29,1748295,1772,4,0.079677629,15.83422706,1
2928259,167.49,67.98,66.33,1748295,861,1,0.079734827,15.88347504,1
3226201,184.53,68.82,67.38,1748295,4372,0,0.079734827,16.13354726,1
3357017,192.02,70.0,68.29,1748295,92513,14,0.080535608,21.42515994,1
3375361,193.07,70.2,68.49,1748295,140308,46,0.083166742,29.45057899,1
567,0.0,0.0,0.0,166303494,21629,568,0.004886849,0.32178458,0
3110525,1.87,1.87,0.0,166303494,11077,281,0.005055817,0.328445294,0
5370431,3.23,3.23,0.0,166303494,65079,638,0.005439453,0.367577966,0
8625350,5.19,3.5,1.69,166303494,147837,2404,0.006885003,0.456473873,0
9991671,6.01,3.5,2.51,166303494,41408,1169,0.007587934,0.481372929,0
10103015,6.08,3.5,2.57,166303494,112718,1884,0.008720803,0.549151421,0
12849265,7.73,5.12,2.6,166303494,336226,6182,0.012438103,0.75132757,0
26471819,15.92,11.17,4.75,166303494,251134,5510,0.015751323,0.902337025,0
48225447,29.0,18.94,10.06,166303494,55293,1315,0.016542046,0.935585274,0
70510078,42.4,25.13,17.27,166303494,13628,358,0.016757315,0.94377993,0
96434845,57.99,35.98,22.01,166303494,6745,113,0.016825263,0.947835768,0
106575146,64.08,39.59,24.5,166303494,9255,91,0.016879982,0.953400895,0
156416604,94.05,57.39,35.91,166303494,213294,322,0.017073604,1.081656769,1
209937805,126.24,73.77,50.23,166303494,144744,643,0.017460247,1.168692824,1
217266600,130.64,75.52,52.5,166303494,7855,83,0.017510155,1.173416116,1
38615,13.42,13.42,0.0,287708,1523,19,0.011469963,1.066358947,0
63728,22.15,22.15,0.0,287708,584,9,0.014598134,1.269342528,0
74218,25.8,25.8,0.0,287708,203,2,0.015293283,1.339900177,0
139354,48.44,27.33,21.11,287708,162,3,0.016336007,1.396207266,0
166567,57.89,33.15,24.74,287708,64,0,0.016336007,1.418452042,0
175943,61.15,34.65,26.5,287708,309,1,0.016683582,1.525852601,0
204266,71.0,38.2,32.8,287708,642,2,0.017378731,1.748995509,0
241915,84.08,47.28,36.8,287708,3349,24,0.025720522,2.913022926,1
275933,95.91,51.8,44.11,287708,9382,79,0.053178918,6.173968051,1
290345,100.92,53.38,47.53,287708,7553,76,0.079594589,8.799199188,1
299629,104.14,54.2,49.94,287708,3249,31,0.090369402,9.928469142,1
305374,106.14,55.08,51.06,287708,15865,20,0.097320895,15.44274056,1
309562,107.6,55.65,51.94,287708,10735,36,0.109833581,19.17395415,1
310502,107.92,55.78,52.14,287708,3697,15,0.115047201,20.45893753,1
0,0.0,0.0,0.0,9442867,57637,266,0.015080166,2.057468352,0
